timestamp,load_gw,year,month,quarter,week,holiday_days,has_holiday,lag_1,lag_2,lag_4,lag_8,lag_12,lag_26,lag_52,rolling_mean_4,rolling_mean_8,rolling_mean_12,rolling_std_4,rolling_std_8,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days
2016-01-03 00:00:00+00:00,47.36403571428572,2016,1,1,53,0,0,48.25336309523809,57.62785714285714,60.106678571428574,56.496375,54.71454761904762,54.222988095238094,47.23373958333334,56.473808035714285,57.62470758928572,56.94347767857143,5.5944731256168945,4.034931917179242,6.58462399755233,4.2452731412115625,9.790135494208899,11.415376002447669,0.0
2016-01-10 00:00:00+00:00,56.615142857142864,2016,1,1,1,0,0,47.36403571428572,48.25336309523809,59.90733333333334,58.491214285714285,56.24397023809523,53.87792857142857,56.19110119047619,53.288147321428575,56.48316517857143,56.33093501984127,6.405488670730758,5.445155505120374,16.893410310726942,10.946851996722241,21.883847831431947,1.1065896892730578,0.0
2016-01-17 00:00:00+00:00,59.91391071428571,2016,1,1,2,0,0,56.615142857142864,47.36403571428572,57.62785714285714,59.382172619047616,55.76396428571428,53.72251785714285,57.67267857142857,52.465099702380954,56.24865625,56.36186607142857,5.404828138931816,5.38640127297975,20.247996179967608,16.750912996943125,24.258877740337525,0.0,0.0
2016-01-24 00:00:00+00:00,61.26752976190476,2016,1,1,3,0,0,59.91391071428571,56.615142857142864,48.25336309523809,60.73266666666667,55.60158928571428,53.66004761904762,58.613303571428574,53.036613095238096,56.315123511904766,56.70769494047619,6.1957165984032505,5.43366560031783,19.45024095292959,15.967672364662027,22.37909173351686,0.0,0.0
2016-01-31 00:00:00+00:00,59.18508928571429,2016,1,1,4,0,0,61.26752976190476,59.91391071428571,47.36403571428572,60.106678571428574,56.496375,52.31118452380953,58.73402976190476,56.290154761904766,56.38198139880952,57.17985664682541,6.263308167610139,5.498687289020711,5.286259814218892,0.03506154518888138,10.884558107317165,12.71374018578111,0.0
2016-02-07 00:00:00+00:00,59.32980952380952,2016,2,1,5,0,0,59.18508928571429,61.26752976190476,56.615142857142864,59.90733333333334,58.491214285714285,52.515363095238094,59.32389880952381,59.24541815476191,56.266782738095245,57.403916170634915,1.9542948743376147,5.418576674783227,9.526300993190283,3.7373066836548485,13.061865878683129,8.473699006809717,0.0
2016-02-14 00:00:00+00:00,58.9735119047619,2016,2,1,6,0,0,59.32980952380952,59.18508928571429,59.91391071428571,57.62785714285714,59.382172619047616,52.66826785714286,58.13777976190477,59.924084821428565,56.19459226190476,57.47379910714286,0.9494253264850829,5.366744756876473,14.65010745122851,8.706103195937027,18.824318895684463,3.3498925487714892,0.0
2016-02-21 00:00:00+00:00,59.96314285714285,2016,2,1,7,0,0,58.9735119047619,59.32980952380952,61.26752976190476,48.25336309523809,60.73266666666667,51.806595238095234,57.80289880952381,59.68898511904762,56.362799107142855,57.43974404761905,1.062485016195439,5.438690005328673,19.804361016978874,14.790848275943107,25.43024946083706,0.0,0.0
2016-02-28 00:00:00+00:00,58.631726190476186,2016,2,1,8,0,0,59.96314285714285,58.9735119047619,59.18508928571429,47.36403571428572,60.106678571428574,53.67769047619048,58.86245238095238,59.362888392857144,57.82652157738095,57.37561706349206,0.4260775381137954,4.425818693374801,8.16660609723768,4.661567755114017,12.66355808089365,9.83339390276232,0.0
2016-03-06 00:00:00+00:00,58.698702380952376,2016,3,1,9,0,0,58.631726190476186,59.96314285714285,59.32980952380952,56.615142857142864,59.90733333333334,53.87086904761905,59.01157738095238,59.22454761904761,59.23498288690476,57.25270436507936,0.5689344339354111,1.3325451317180816,10.514728186689464,8.180725319894789,12.98232034952292,7.485271813310536,0.0
