utc_timestamp,Actual,Forecast,Prediction_Std
2020-09-26 16:00:00+00:00,54384.0,53493.87198243116,5952.373129144219
2020-09-26 17:00:00+00:00,54322.0,53760.087418231196,5951.7957134163335
2020-09-26 18:00:00+00:00,51430.0,52096.779818919444,5951.602085283485
2020-09-26 19:00:00+00:00,48135.0,48115.82152837678,5951.595188115959
2020-09-26 20:00:00+00:00,46496.0,45233.78637912634,5951.563429351844
2020-09-26 21:00:00+00:00,43097.0,43889.482136646126,5951.476452102754
2020-09-26 22:00:00+00:00,40480.0,40151.97909102392,5951.279718880662
2020-09-26 23:00:00+00:00,38777.0,36990.34996321572,5952.202410150989
2020-09-27 00:00:00+00:00,37704.0,37731.78868727458,5952.1135977853455
2020-09-27 01:00:00+00:00,37378.0,38158.4392516239,5952.2722734688205
2020-09-27 02:00:00+00:00,37341.0,37741.12747962572,5952.03603871166
2020-09-27 03:00:00+00:00,37625.0,38319.50071388695,5951.69648284693
2020-09-27 04:00:00+00:00,38405.0,39086.45793119674,5951.229323867298
2020-09-27 05:00:00+00:00,40153.0,40326.79842439694,5950.921784552704
2020-09-27 06:00:00+00:00,43434.0,43106.98310585863,5950.941751787805
2020-09-27 07:00:00+00:00,46939.0,46836.30592841954,5951.1403919536115
2020-09-27 08:00:00+00:00,50059.0,49779.468389995185,5951.266002418145
2020-09-27 09:00:00+00:00,52121.0,51897.64414013416,5951.395624116101
2020-09-27 10:00:00+00:00,52227.0,52691.03098564362,5951.031367952708
2020-09-27 11:00:00+00:00,50386.0,51542.025264730546,5950.9542459045715
2020-09-27 12:00:00+00:00,48933.0,48965.63600525452,5950.956902701138
2020-09-27 13:00:00+00:00,47464.0,47702.44983542025,5950.9993608429195
2020-09-27 14:00:00+00:00,47142.0,46859.03086961078,5951.164577268168
2020-09-27 15:00:00+00:00,48604.0,47038.636416386405,5951.35705104189
2020-09-27 16:00:00+00:00,50246.0,49052.28263219411,5951.6026292931965
2020-09-27 17:00:00+00:00,51534.0,50801.48411166768,5951.038789971045
2020-09-27 18:00:00+00:00,49854.0,50303.53439857901,5951.021004942744
2020-09-27 19:00:00+00:00,47286.0,47180.38322676941,5951.0607094292745
2020-09-27 20:00:00+00:00,46219.0,44749.4821799382,5951.090072078969
2020-09-27 21:00:00+00:00,43398.0,43900.13171541838,5951.0647867980815
2020-09-27 22:00:00+00:00,41407.0,40848.23362719627,5951.007697574639
2020-09-27 23:00:00+00:00,40414.0,38316.80566455949,5950.963674219857
2020-09-28 00:00:00+00:00,39860.0,39859.754487590006,5950.388281871478
2020-09-28 01:00:00+00:00,40207.0,40897.661943748535,5950.555209098944
2020-09-28 02:00:00+00:00,42254.0,41803.92029535156,5950.431177777851
2020-09-28 03:00:00+00:00,46180.0,45677.76029939184,5949.965432919117
2020-09-28 04:00:00+00:00,54773.0,52204.929233973926,5949.572098048711
2020-09-28 05:00:00+00:00,60862.0,60945.6961938677,5951.337545950267
2020-09-28 06:00:00+00:00,63206.0,64492.968168942025,5951.789198128291
2020-09-28 07:00:00+00:00,63599.0,63314.555113817216,5951.474976946114
2020-09-28 08:00:00+00:00,64594.0,63635.008352771656,5951.460896274853
2020-09-28 09:00:00+00:00,65635.0,66833.41383768508,5951.5905718353115
2020-09-28 10:00:00+00:00,65791.0,66602.10221900977,5951.230335688089
2020-09-28 11:00:00+00:00,65568.0,64676.04066241658,5950.864687020488
2020-09-28 12:00:00+00:00,64527.0,63721.074825391195,5950.78702771772
2020-09-28 13:00:00+00:00,62485.0,63166.6561434646,5950.858327136294
2020-09-28 14:00:00+00:00,61300.0,61583.142379760226,5950.957918055271
2020-09-28 15:00:00+00:00,61369.0,61212.47028061919,5951.065668189425
2020-09-28 16:00:00+00:00,61753.0,61532.634083632285,5951.108709848054
2020-09-28 17:00:00+00:00,62806.0,61337.219655219495,5951.110323194212
2020-09-28 18:00:00+00:00,60672.0,60671.516088631295,5951.210304696924
2020-09-28 19:00:00+00:00,56994.0,57185.49943131351,5951.497034694654
2020-09-28 20:00:00+00:00,53622.0,52983.84501593834,5951.724788721328
2020-09-28 21:00:00+00:00,49617.0,50335.91183005894,5951.960989315569
2020-09-28 22:00:00+00:00,46430.0,47194.12887683869,5952.18888514735
2020-09-28 23:00:00+00:00,44632.0,43865.87792333127,5952.31556414236
2020-09-29 00:00:00+00:00,44021.0,43623.589080208956,5952.122744033735
2020-09-29 01:00:00+00:00,44199.0,44719.60691313188,5950.962052198871
2020-09-29 02:00:00+00:00,45442.0,45759.17702902805,5949.988454479845
