utc_timestamp,Actual,Forecast,Lower,Upper
2018-10-14 00:00:00+00:00,55848.94047619047,57644.50162908502,54743.21494660149,60545.78831156855
2018-10-21 00:00:00+00:00,55762.125,57990.44943348448,54774.662323169745,61206.23654379921
2018-10-28 00:00:00+00:00,58684.71428571428,58871.85999256136,55445.92806364521,62297.79192147751
2018-11-04 00:00:00+00:00,55917.58928571428,55430.1130919333,51745.545433541476,59114.680750325126
2018-11-11 00:00:00+00:00,58163.47023809524,60701.594261302474,56826.74399500642,64576.44452759853
2018-11-18 00:00:00+00:00,59696.083333333336,61330.30127435228,57230.32748952344,65430.27505918111
2018-11-25 00:00:00+00:00,61553.36309523809,61511.85159414672,57235.95330757523,65787.74988071821
2018-12-02 00:00:00+00:00,62379.15476190476,63089.96362505903,58612.933660364644,67566.9935897534
2018-12-09 00:00:00+00:00,62322.69047619047,64045.54993526089,59403.79690839053,68687.30296213125
2018-12-16 00:00:00+00:00,63243.5,63646.57263746015,58821.78386344085,68471.36141147945
2018-12-23 00:00:00+00:00,59408.55952380953,59571.0545234052,54590.72241717763,64551.38662963276
2018-12-30 00:00:00+00:00,49075.583333333336,50674.24248185975,45524.96807666344,55823.51688705606
2019-01-06 00:00:00+00:00,53805.875,58089.853657346786,52792.97994674751,63386.72736794606
2019-01-13 00:00:00+00:00,62372.20238095238,62947.54628687068,57493.35791471018,68401.73465903118
2019-01-20 00:00:00+00:00,62423.494047619046,64357.069879806215,58762.077088171885,69952.06267144055
2019-01-27 00:00:00+00:00,63587.01190476191,63327.7725455032,57584.888757249835,69070.65633375656
2019-02-03 00:00:00+00:00,62088.767857142855,63271.47371637455,57393.62689068823,69149.32054206087
2019-02-10 00:00:00+00:00,62359.53571428572,63847.91487717147,57830.078552752355,69865.75120159058
2019-02-17 00:00:00+00:00,60799.005952380954,62998.54768938402,56850.96623595786,69146.12914281018
2019-02-24 00:00:00+00:00,59467.517857142855,63008.19125157391,56727.357949823316,69289.0245533245
2019-03-03 00:00:00+00:00,58481.82142857143,64721.72999175823,58315.84950373761,71127.61047977884
2019-03-10 00:00:00+00:00,58990.95238095238,61322.18014559698,54788.87362176833,67855.48666942563
2019-03-17 00:00:00+00:00,60078.91071428572,62414.98041413266,55760.885576332454,69069.07525193287
2019-03-24 00:00:00+00:00,57649.36309523809,62551.603621858696,55775.180573966965,69328.02666975043
2019-03-31 00:00:00+00:00,56771.51190476191,57747.26461765315,50853.93670297476,64640.59253233154
2019-04-07 00:00:00+00:00,56433.857142857145,56865.16341045415,49854.01455931575,63876.31226159255
2019-04-14 00:00:00+00:00,56765.97023809524,57625.40967172336,50500.91483297599,64749.90451047073
2019-04-21 00:00:00+00:00,51656.26190476191,56613.89390149289,49375.599644823946,63852.188158161836
2019-04-28 00:00:00+00:00,52336.75,57654.022212712334,50305.65760451922,65002.38682090545
2019-05-05 00:00:00+00:00,53123.17261904762,55598.815972248354,48140.26896892764,63057.36297556907
2019-05-12 00:00:00+00:00,56023.57738095238,55339.85892024914,47774.268065171615,62905.44977532667
2019-05-19 00:00:00+00:00,55285.59523809524,57612.29880288853,49939.802007988415,65284.795597788645
2019-05-26 00:00:00+00:00,54945.35119047619,55157.37427420819,47380.639528040774,62934.1090203756
2019-06-02 00:00:00+00:00,51308.80357142857,56057.51775450892,48176.863898187155,63938.17161083068
2019-06-09 00:00:00+00:00,54528.16071428572,57589.65380671792,49607.371458531255,65571.93615490459
2019-06-16 00:00:00+00:00,52286.708333333336,57348.26121484171,49264.79802344458,65431.72440623884
2019-06-23 00:00:00+00:00,52541.21428571428,58461.11694678643,50278.45893913981,66643.77495443306
2019-06-30 00:00:00+00:00,55955.28571428572,57742.39595155394,49461.080251980515,66023.71165112736
2019-07-07 00:00:00+00:00,55179.630952380954,58018.09264559554,49639.857842797624,66396.32744839347
2019-07-14 00:00:00+00:00,53908.166666666664,56326.74224055124,47852.185287060536,64801.299194041945
2019-07-21 00:00:00+00:00,53511.96428571428,55872.099824607125,47302.757029200606,64441.442620013644
2019-07-28 00:00:00+00:00,54207.10119047619,56946.49181365448,48282.99762280367,65609.98600450529
2019-08-04 00:00:00+00:00,52392.10119047619,56867.30766221895,48111.03209776449,65623.5832266734
2019-08-11 00:00:00+00:00,52019.05357142857,56165.03803889171,47316.63617111273,65013.43990667069
2019-08-18 00:00:00+00:00,51155.23809523809,55351.07609756725,46411.78084087792,64290.37135425659
2019-08-25 00:00:00+00:00,51838.130952380954,56374.60170392632,47345.075851521775,65404.12755633086
2019-09-01 00:00:00+00:00,54091.97023809524,56462.7923886108,47344.15642840914,65581.42834881245
2019-09-08 00:00:00+00:00,52443.16071428572,56944.57477303648,47737.48905229947,66151.6604937735
2019-09-15 00:00:00+00:00,53348.48809523809,57542.52100721261,48248.01696326887,66837.02505115634
2019-09-22 00:00:00+00:00,53222.54761904762,58508.20960965012,49126.9369539168,67889.48226538344
2019-09-29 00:00:00+00:00,54829.47619047619,58158.11756551373,48691.04739444407,67625.1877365834
2019-10-06 00:00:00+00:00,52330.630952380954,56416.16778170552,46863.93470560273,65968.4008578083
2019-10-13 00:00:00+00:00,55801.708333333336,59643.01609037037,49447.00323663396,69839.02894410679
2019-10-20 00:00:00+00:00,56132.791666666664,59917.698616030604,49450.02981040342,70385.3674216578
2019-10-27 00:00:00+00:00,56484.41071428572,60940.031950433986,50242.46748741494,71637.59641345302
2019-11-03 00:00:00+00:00,55029.630952380954,57200.387137274105,46248.88624223817,68151.88803231005
2019-11-10 00:00:00+00:00,58159.36309523809,62602.028344661674,51427.74917154327,73776.30751778008
2019-11-17 00:00:00+00:00,59112.23809523809,63303.33042486713,51888.35651796126,74718.30433177299
2019-11-24 00:00:00+00:00,59735.94047619047,63781.24846774187,52150.15566507303,75412.3412704107
2019-12-01 00:00:00+00:00,59842.833333333336,65182.92076637873,53322.436262415475,77043.40527034199
2019-12-08 00:00:00+00:00,61059.29761904762,66254.40917266865,54184.053532620725,78324.76481271657
2019-12-15 00:00:00+00:00,61242.19047619047,65847.75303991811,53557.77562310362,78137.7304567326
